"TestID","question","answer"
"3521","What did you love about Cloud Assessments and this assessment in particular?","xada"
"3521","Why did you rate it the way you did?","sdc"
"3521","Did you understand what was expected of you (was the scenario clear)?","asc"
"3521","Was the skill level appropriate for what we described?","aDC"
"3521","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3521","Do you have any specific suggestions for improvements?","cc"
"3521","What additional features would you like to see?","AcscCS"
"3521","What other types of assessments would you like to see?","cAWCA"
"3521","Would you be interested in a verified micro certification?","cAsC"
"3524","Please rate this assessment from one to five, five being the highest","3"
"3524","What did you love about Cloud Assessments and this assessment in particular?","Hands on Exp"
"3524","Why did you rate it the way you did?","It was confusing to see what I was actually going to be creating"
"3524","Did you understand what was expected of you (was the scenario clear)?","No"
"3524","Was the skill level appropriate for what we described?","Yes"
"3524","On a scale of one to ten, how likely are you to recommend this to your friends?","7"
"3524","Do you have any specific suggestions for improvements?","Give an overview of what is expected before the course starts"
"3524","What additional features would you like to see?","None"
"3524","What other types of assessments would you like to see?","Other features"
"3524","Would you be interested in a verified micro certification?","No"
"3518","Please rate this assessment from one to five, five being the highest","5"
"3518","What did you love about Cloud Assessments and this assessment in particular?","NA"
"3518","Why did you rate it the way you did?","NA"
"3518","Did you understand what was expected of you (was the scenario clear)?","YES"
"3518","Was the skill level appropriate for what we described?","YES"
"3518","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3518","Do you have any specific suggestions for improvements?","NA"
"3518","What additional features would you like to see?","NA"
"3518","What other types of assessments would you like to see?","Fault tolerant highly available architecture"
"3518","Would you be interested in a verified micro certification?","YES"
"3461","Please rate this assessment from one to five, five being the highest","5"
"3461","What did you love about Cloud Assessments and this assessment in particular?","great"
"3461","Why did you rate it the way you did?","very usefull"
"3461","Did you understand what was expected of you (was the scenario clear)?","good"
"3461","Was the skill level appropriate for what we described?","ok"
"3461","On a scale of one to ten, how likely are you to recommend this to your friends?","7"
"3461","Do you have any specific suggestions for improvements?","good"
"3461","What additional features would you like to see?","good"
"3461","What other types of assessments would you like to see?","good"
"3461","Would you be interested in a verified micro certification?","yes"
"3460","Please rate this assessment from one to five, five being the highest","5"
"3460","What did you love about Cloud Assessments and this assessment in particular?","VPC Concept "
"3460","Why did you rate it the way you did?","It s good"
"3460","Did you understand what was expected of you (was the scenario clear)?","Yes"
"3460","Was the skill level appropriate for what we described?","L2"
"3460","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3460","Do you have any specific suggestions for improvements?","No"
"3460","What additional features would you like to see?","NO as of now"
"3460","What other types of assessments would you like to see?","Dont know"
"3460","Would you be interested in a verified micro certification?","Yes"
"3465","Please rate this assessment from one to five, five being the highest","5"
"3465","What did you love about Cloud Assessments and this assessment in particular?","Scenario"
"3465","Why did you rate it the way you did?","Because. I'm that way"
"3465","Did you understand what was expected of you (was the scenario clear)?","yes"
"3465","Was the skill level appropriate for what we described?","yes"
"3465","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3465","Do you have any specific suggestions for improvements?","no"
"3465","What additional features would you like to see?","I want to see the scenario in pointwise instead of paragraph type"
"3465","What other types of assessments would you like to see?","All AWS related"
"3465","Would you be interested in a verified micro certification?","Yes"
"3481","Please rate this assessment from one to five, five being the highest","5"
"3481","What did you love about Cloud Assessments and this assessment in particular?","fgg"
"3481","Why did you rate it the way you did?","ccvc"
"3481","Did you understand what was expected of you (was the scenario clear)?","yes"
"3481","Was the skill level appropriate for what we described?","y"
"3481","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3481","Do you have any specific suggestions for improvements?","no"
"3481","What additional features would you like to see?","fggg"
"3481","What other types of assessments would you like to see?","gggg"
"3481","Would you be interested in a verified micro certification?","gggg"
"3913","Please rate this assessment from one to five, five being the highest","5"
"3913","What did you love about Cloud Assessments and this assessment in particular?","It was very straightforward and excellently configured in AWS"
"3913","Why did you rate it the way you did?","Though I don't have excellent AWS skills, I can understand the amount of work put into this scenario"
"3913","Did you understand what was expected of you (was the scenario clear)?","Yes, though I would have liked some more information about the scenario"
"3913","Was the skill level appropriate for what we described?","I think so"
"3913","On a scale of one to ten, how likely are you to recommend this to your friends?","9"
"3913","Do you have any specific suggestions for improvements?","Not at this moment"
"3913","What additional features would you like to see?","I still need to explore more to see what cloudassessments.com has to offer"
"3913","What other types of assessments would you like to see?","I still need to explore more to see what cloudassessments.com has to offer"
"3913","Would you be interested in a verified micro certification?","It is an interesting idea, but isn't that the point of AWS certifications already?"
"3466","Please rate this assessment from one to five, five being the highest","5"
"3466","What did you love about Cloud Assessments and this assessment in particular?","its good"
"3466","Why did you rate it the way you did?","its good"
"3466","Did you understand what was expected of you (was the scenario clear)?","yes"
"3466","Was the skill level appropriate for what we described?","yes its"
"3466","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3466","Do you have any specific suggestions for improvements?","no"
"3466","What additional features would you like to see?","nothing"
"3466","What other types of assessments would you like to see?","nothing"
"3466","Would you be interested in a verified micro certification?","yes"
"4069","Please rate this assessment from one to five, five being the highest","5"
"4069","What did you love about Cloud Assessments and this assessment in particular?","Sure"
"4069","Why did you rate it the way you did?","I am impressed"
"4069","Did you understand what was expected of you (was the scenario clear)?","Yes"
"4069","Was the skill level appropriate for what we described?","Yes"
"4069","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"4069","Do you have any specific suggestions for improvements?","Not as such"
"4069","What additional features would you like to see?","nothing as of now"
"4069","What other types of assessments would you like to see?","more labs on other topics"
"4069","Would you be interested in a verified micro certification?","sure"
"3877","Please rate this assessment from one to five, five being the highest","4"
"3877","What did you love about Cloud Assessments and this assessment in particular?","Very valuable hands-on experience to go with my LinuxAcademy training."
"3877","Why did you rate it the way you did?","Description of the challenge could provide a little more requirements."
"3877","Did you understand what was expected of you (was the scenario clear)?","At a conceptual level, but didn't explain the issues with the current state or what was the status of current state. "
"3877","Was the skill level appropriate for what we described?","Yes for someone will little hands on experience and only exposure is via LinuxAcademy. I thought it hit the mark."
"3877","On a scale of one to ten, how likely are you to recommend this to your friends?","8"
"3877","Do you have any specific suggestions for improvements?","First one so hard to say. "
"3877","What additional features would you like to see?","Nothing for now."
"3877","What other types of assessments would you like to see?","Lots more. The more the better. I come from a VMware background, something in that space would be great."
"3877","Would you be interested in a verified micro certification?","Yes"
"3891","Please rate this assessment from one to five, five being the highest","5"
"3891","What did you love about Cloud Assessments and this assessment in particular?","test"
"3891","Why did you rate it the way you did?","test"
"3891","Did you understand what was expected of you (was the scenario clear)?","test"
"3891","Was the skill level appropriate for what we described?","test"
"3891","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3891","Do you have any specific suggestions for improvements?","test"
"3891","What additional features would you like to see?","test"
"3891","What other types of assessments would you like to see?","test"
"3891","Would you be interested in a verified micro certification?","test"
"3896","Please rate this assessment from one to five, five being the highest","5"
"3896","What did you love about Cloud Assessments and this assessment in particular?","test"
"3896","Why did you rate it the way you did?","test"
"3896","Did you understand what was expected of you (was the scenario clear)?","test"
"3896","Was the skill level appropriate for what we described?","test"
"3896","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3896","Do you have any specific suggestions for improvements?","test"
"3896","What additional features would you like to see?","test"
"3896","What other types of assessments would you like to see?","t"
"3896","Would you be interested in a verified micro certification?","test"
"3482","Please rate this assessment from one to five, five being the highest","5"
"3482","What did you love about Cloud Assessments and this assessment in particular?","required"
"3482","Why did you rate it the way you did?","best practies"
"3482","Did you understand what was expected of you (was the scenario clear)?","yes"
"3482","Was the skill level appropriate for what we described?","yes"
"3482","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3482","Do you have any specific suggestions for improvements?","yyyy"
"3482","What additional features would you like to see?","yyyy"
"3482","What other types of assessments would you like to see?","yyy"
"3482","Would you be interested in a verified micro certification?","yyy"
"3483","Please rate this assessment from one to five, five being the highest","5"
"3483","What did you love about Cloud Assessments and this assessment in particular?","it's practical"
"3483","Why did you rate it the way you did?","because I liked it"
"3483","Did you understand what was expected of you (was the scenario clear)?","yes"
"3483","Was the skill level appropriate for what we described?","I'm not sure"
"3483","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3483","Do you have any specific suggestions for improvements?","maybe in future"
"3483","What additional features would you like to see?","I'm not sure"
"3483","What other types of assessments would you like to see?","I'm not sure"
"3483","Would you be interested in a verified micro certification?","maybe"
"3903","Please rate this assessment from one to five, five being the highest","4"
"3903","What did you love about Cloud Assessments and this assessment in particular?","For someone studying for certification this is exactly what is needed"
"3903","Why did you rate it the way you did?","The assessment itself seems great, the overall site confuses me though"
"3903","Did you understand what was expected of you (was the scenario clear)?","the assessment scenario was clear. the overall site lacks important information"
"3903","Was the skill level appropriate for what we described?","yes"
"3903","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3903","Do you have any specific suggestions for improvements?","Need explanation about experience points, gems, how/when/how much assessments will cost me"
"3903","What additional features would you like to see?","see above"
"3903","What other types of assessments would you like to see?","Linux, Azure"
"3903","Would you be interested in a verified micro certification?","i doubt it"
"4155","Please rate this assessment from one to five, five being the highest","5"
"4155","What did you love about Cloud Assessments and this assessment in particular?","testing prod"
"4155","Why did you rate it the way you did?","testing prod"
"4155","Did you understand what was expected of you (was the scenario clear)?","testing prod"
"4155","Was the skill level appropriate for what we described?","testing prod"
"4155","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"4155","Do you have any specific suggestions for improvements?","testing prod"
"4155","What additional features would you like to see?","testing prod"
"4155","What other types of assessments would you like to see?","testing prod"
"4155","Would you be interested in a verified micro certification?","testing prod"
"3890","Please rate this assessment from one to five, five being the highest","5"
"3890","What did you love about Cloud Assessments and this assessment in particular?","test"
"3890","Why did you rate it the way you did?","test"
"3890","Did you understand what was expected of you (was the scenario clear)?","test"
"3890","Was the skill level appropriate for what we described?","test"
"3890","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3890","Do you have any specific suggestions for improvements?","test"
"3890","What additional features would you like to see?","test"
"3890","What other types of assessments would you like to see?","test"
"3890","Would you be interested in a verified micro certification?","test"
"3905","Please rate this assessment from one to five, five being the highest","5"
"3905","What did you love about Cloud Assessments and this assessment in particular?","It is best "
"3905","Why did you rate it the way you did?","I like it"
"3905","Did you understand what was expected of you (was the scenario clear)?","yes"
"3905","Was the skill level appropriate for what we described?","yes"
"3905","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3905","Do you have any specific suggestions for improvements?","no"
"3905","What additional features would you like to see?","nothing. it is good"
"3905","What other types of assessments would you like to see?","cant think of any at the moment"
"3905","Would you be interested in a verified micro certification?","Yes definitely"
"3480","Please rate this assessment from one to five, five being the highest","5"
"3480","What did you love about Cloud Assessments and this assessment in particular?","sdaf"
"3480","Why did you rate it the way you did?","asdff"
"3480","Did you understand what was expected of you (was the scenario clear)?","asfd"
"3480","Was the skill level appropriate for what we described?","asdf"
"3480","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3480","Do you have any specific suggestions for improvements?","asdf"
"3480","What additional features would you like to see?","asdf"
"3480","What other types of assessments would you like to see?","adsf"
"3480","Would you be interested in a verified micro certification?","YES"
"3697","Please rate this assessment from one to five, five being the highest","5"
"3697","What did you love about Cloud Assessments and this assessment in particular?","It's launched!"
"3697","Why did you rate it the way you did?","Because I work here!"
"3697","Did you understand what was expected of you (was the scenario clear)?","Absolutely!"
"3697","Was the skill level appropriate for what we described?","God"
"3697","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3697","Do you have any specific suggestions for improvements?","Give everyone in the company a LARGE raise!"
"3697","What additional features would you like to see?","Generate winning lottery numbers for me as well!"
"3697","What other types of assessments would you like to see?","Sports teams!"
"3697","Would you be interested in a verified micro certification?","Absolutely!"
"3473","Please rate this assessment from one to five, five being the highest","5"
"3473","What did you love about Cloud Assessments and this assessment in particular?","very good"
"3473","Why did you rate it the way you did?","l1"
"3473","Did you understand what was expected of you (was the scenario clear)?","yes"
"3473","Was the skill level appropriate for what we described?","l1"
"3473","On a scale of one to ten, how likely are you to recommend this to your friends?","6"
"3473","Do you have any specific suggestions for improvements?","no"
"3473","What additional features would you like to see?","no"
"3473","What other types of assessments would you like to see?","nat gateway"
"3473","Would you be interested in a verified micro certification?","yes"
"3529","Please rate this assessment from one to five, five being the highest","5"
"3529","What did you love about Cloud Assessments and this assessment in particular?","dffdf"
"3529","Why did you rate it the way you did?","fsdf"
"3529","Did you understand what was expected of you (was the scenario clear)?","fsdfsd"
"3529","Was the skill level appropriate for what we described?","fsdfsd"
"3529","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3529","Do you have any specific suggestions for improvements?","fsdf"
"3529","What additional features would you like to see?","fsdfs"
"3529","What other types of assessments would you like to see?","fsdfd"
"3529","Would you be interested in a verified micro certification?","fsdf"
"4112","Please rate this assessment from one to five, five being the highest","5"
"4112","What did you love about Cloud Assessments and this assessment in particular?","test"
"4112","Why did you rate it the way you did?","test"
"4112","Did you understand what was expected of you (was the scenario clear)?","test"
"4112","Was the skill level appropriate for what we described?","test"
"4112","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"4112","Do you have any specific suggestions for improvements?","test"
"4112","What additional features would you like to see?","test"
"4112","What other types of assessments would you like to see?","t"
"4112","Would you be interested in a verified micro certification?","test"
"3721","Please rate this assessment from one to five, five being the highest","5"
"3721","What did you love about Cloud Assessments and this assessment in particular?","qwd"
"3721","Why did you rate it the way you did?","qwd"
"3721","Did you understand what was expected of you (was the scenario clear)?","qwd"
"3721","Was the skill level appropriate for what we described?","qwd"
"3721","On a scale of one to ten, how likely are you to recommend this to your friends?","9"
"3721","Do you have any specific suggestions for improvements?","qwd"
"3721","What additional features would you like to see?","qwd"
"3721","What other types of assessments would you like to see?","qwd"
"3721","Would you be interested in a verified micro certification?","wd"
"3475","Please rate this assessment from one to five, five being the highest","5"
"3475","What did you love about Cloud Assessments and this assessment in particular?","vpc"
"3475","Why did you rate it the way you did?","good"
"3475","Did you understand what was expected of you (was the scenario clear)?","yes"
"3475","Was the skill level appropriate for what we described?","l2"
"3475","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3475","Do you have any specific suggestions for improvements?","no"
"3475","What additional features would you like to see?","no"
"3475","What other types of assessments would you like to see?","no"
"3475","Would you be interested in a verified micro certification?","yes"
"4103","Please rate this assessment from one to five, five being the highest","5"
"4103","What did you love about Cloud Assessments and this assessment in particular?","Hands on exercises are always good to learn where the live environment is simulated"
"4103","Why did you rate it the way you did?","Real world scenario created"
"4103","Did you understand what was expected of you (was the scenario clear)?","Yes"
"4103","Was the skill level appropriate for what we described?","Yes"
"4103","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"4103","Do you have any specific suggestions for improvements?","Not for now"
"4103","What additional features would you like to see?","Would love to see more challenges"
"4103","What other types of assessments would you like to see?","More elaborate project type scenarios"
"4103","Would you be interested in a verified micro certification?","Yes"
"3702","Please rate this assessment from one to five, five being the highest","5"
"3702","What did you love about Cloud Assessments and this assessment in particular?","This is christophe"
"3702","Why did you rate it the way you did?","This is christophe"
"3702","Did you understand what was expected of you (was the scenario clear)?","This is christophe"
"3702","Was the skill level appropriate for what we described?","This is christophe"
"3702","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3702","Do you have any specific suggestions for improvements?","This is christophe"
"3702","What additional features would you like to see?","This is christophe"
"3702","What other types of assessments would you like to see?","This is christophe"
"3702","Would you be interested in a verified micro certification?","This is christophe"
"4102","Please rate this assessment from one to five, five being the highest","5"
"4102","What did you love about Cloud Assessments and this assessment in particular?","tet"
"4102","Why did you rate it the way you did?","test"
"4102","Did you understand what was expected of you (was the scenario clear)?","test"
"4102","Was the skill level appropriate for what we described?","test"
"4102","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"4102","Do you have any specific suggestions for improvements?","test"
"4102","What additional features would you like to see?","test"
"4102","What other types of assessments would you like to see?","t"
"4102","Would you be interested in a verified micro certification?","t"
"4160","Please rate this assessment from one to five, five being the highest","5"
"4160","What did you love about Cloud Assessments and this assessment in particular?","test"
"4160","Why did you rate it the way you did?","test"
"4160","Did you understand what was expected of you (was the scenario clear)?","test"
"4160","Was the skill level appropriate for what we described?","test"
"4160","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"4160","Do you have any specific suggestions for improvements?","test"
"4160","What additional features would you like to see?","test"
"4160","What other types of assessments would you like to see?","t"
"4160","Would you be interested in a verified micro certification?","test"
"3752","Please rate this assessment from one to five, five being the highest","1"
"3752","What did you love about Cloud Assessments and this assessment in particular?","test"
"3752","Why did you rate it the way you did?","test"
"3752","Did you understand what was expected of you (was the scenario clear)?","test"
"3752","Was the skill level appropriate for what we described?","test"
"3752","On a scale of one to ten, how likely are you to recommend this to your friends?","1"
"3752","Do you have any specific suggestions for improvements?","test"
"3752","What additional features would you like to see?","test"
"3752","What other types of assessments would you like to see?","test"
"3752","Would you be interested in a verified micro certification?","test"
"3765","Please rate this assessment from one to five, five being the highest","5"
"3765","What did you love about Cloud Assessments and this assessment in particular?","test"
"3765","Why did you rate it the way you did?","test"
"3765","Did you understand what was expected of you (was the scenario clear)?","test"
"3765","Was the skill level appropriate for what we described?","test"
"3765","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3765","Do you have any specific suggestions for improvements?","test"
"3765","What additional features would you like to see?","test"
"3765","What other types of assessments would you like to see?","test"
"3765","Would you be interested in a verified micro certification?","test"
"3484","Please rate this assessment from one to five, five being the highest","4"
"3484","What did you love about Cloud Assessments and this assessment in particular?","Its hands-on assessment"
"3484","Why did you rate it the way you did?","I liked the scenario presented."
"3484","Did you understand what was expected of you (was the scenario clear)?","Yes"
"3484","Was the skill level appropriate for what we described?","Yes"
"3484","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3484","Do you have any specific suggestions for improvements?","No"
"3484","What additional features would you like to see?","Nothing"
"3484","What other types of assessments would you like to see?","cloud formation"
"3484","Would you be interested in a verified micro certification?","yes"
"3990","Please rate this assessment from one to five, five being the highest","4"
"3990","What did you love about Cloud Assessments and this assessment in particular?","The interface flows nicely."
"3990","Why did you rate it the way you did?","It's a pretty good generalized set of issues. Novices do make those exact mistakes."
"3990","Did you understand what was expected of you (was the scenario clear)?","Mostly. The paragraph layout should be bulleted."
"3990","Was the skill level appropriate for what we described?","Yes."
"3990","On a scale of one to ten, how likely are you to recommend this to your friends?","9"
"3990","Do you have any specific suggestions for improvements?","Not really on this particular lab"
"3990","What additional features would you like to see?","If a single zone DB is kosher, that should be pointed out. A multi takes forever to deploy."
"3990","What other types of assessments would you like to see?","S3, ECS, Elastic Beanstalk, Route 53"
"3990","Would you be interested in a verified micro certification?","Depends on the price. "
"3451","Please rate this assessment from one to five, five being the highest","5"
"3451","What did you love about Cloud Assessments and this assessment in particular?","practical"
"3451","Why did you rate it the way you did?","its good"
"3451","Did you understand what was expected of you (was the scenario clear)?","yes"
"3451","Was the skill level appropriate for what we described?","five"
"3451","On a scale of one to ten, how likely are you to recommend this to your friends?","8"
"3451","Do you have any specific suggestions for improvements?"," no"
"3451","What additional features would you like to see?","no"
"3451","What other types of assessments would you like to see?","yes"
"3451","Would you be interested in a verified micro certification?","yes"
"3708","Please rate this assessment from one to five, five being the highest","5"
"3708","What did you love about Cloud Assessments and this assessment in particular?","testing-chad-n/a"
"3708","Why did you rate it the way you did?","testing-chad-n/a"
"3708","Did you understand what was expected of you (was the scenario clear)?","testing-chad-n/a"
"3708","Was the skill level appropriate for what we described?","testing-chad-n/a"
"3708","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3708","Do you have any specific suggestions for improvements?","testing-chad-n/a"
"3708","What additional features would you like to see?","testing-chad-n/a"
"3708","What other types of assessments would you like to see?","testing-chad-n/a"
"3708","Would you be interested in a verified micro certification?","testing-chad-n/a"
"3578","Please rate this assessment from one to five, five being the highest","3"
"3578","What did you love about Cloud Assessments and this assessment in particular?","test"
"3578","Why did you rate it the way you did?","test"
"3578","Did you understand what was expected of you (was the scenario clear)?","test"
"3578","Was the skill level appropriate for what we described?","test"
"3578","On a scale of one to ten, how likely are you to recommend this to your friends?","5"
"3578","Do you have any specific suggestions for improvements?","test"
"3578","What additional features would you like to see?","test"
"3578","What other types of assessments would you like to see?","test"
"3578","Would you be interested in a verified micro certification?","test"
"4127","Please rate this assessment from one to five, five being the highest","5"
"4127","What did you love about Cloud Assessments and this assessment in particular?","This type of use cases really for beginners to understand deep concepts of high availability and Fault tolerance"
"4127","Why did you rate it the way you did?","I liked it "
"4127","Did you understand what was expected of you (was the scenario clear)?","Yes"
"4127","Was the skill level appropriate for what we described?","Yes"
"4127","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"4127","Do you have any specific suggestions for improvements?","Yes, In enterprise nobody operates from console to stand outside the crowd from other courses I think it's better to add a next advanced task  to ask students to write cloud formation template(for this scenario) and Aws-SDK for different scenarios for example take EBS snapshot EC2 or different scenario. Doing students will have better chance to doing good in real time. I personally feel I still know the concepts on basic stuff but I still don't feel confident when it comes to automation adding a course on python boto3 or atleast some new python course different from the one that currently existed would help. :)"
"4127","What additional features would you like to see?","Add tasks to finish them by automation."
"4127","What other types of assessments would you like to see?","AWS Lambda Assessments would be great "
"4127","Would you be interested in a verified micro certification?","Yes"
"3792","Please rate this assessment from one to five, five being the highest","5"
"3792","What did you love about Cloud Assessments and this assessment in particular?","qqqqq"
"3792","Why did you rate it the way you did?","qqqqq"
"3792","Did you understand what was expected of you (was the scenario clear)?","qqqqq"
"3792","Was the skill level appropriate for what we described?","qqqqq"
"3792","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3792","Do you have any specific suggestions for improvements?","qqqqq"
"3792","What additional features would you like to see?","qqqqq"
"3792","What other types of assessments would you like to see?","qqqqq"
"3792","Would you be interested in a verified micro certification?","qqqqq"
"3849","Please rate this assessment from one to five, five being the highest","5"
"3849","What did you love about Cloud Assessments and this assessment in particular?","test"
"3849","Why did you rate it the way you did?","test"
"3849","Did you understand what was expected of you (was the scenario clear)?","test"
"3849","Was the skill level appropriate for what we described?","test"
"3849","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3849","Do you have any specific suggestions for improvements?","test"
"3849","What additional features would you like to see?","test"
"3849","What other types of assessments would you like to see?","test"
"3849","Would you be interested in a verified micro certification?","test"
"3889","Please rate this assessment from one to five, five being the highest","5"
"3889","What did you love about Cloud Assessments and this assessment in particular?","test"
"3889","Why did you rate it the way you did?","test"
"3889","Did you understand what was expected of you (was the scenario clear)?","test"
"3889","Was the skill level appropriate for what we described?","test"
"3889","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3889","Do you have any specific suggestions for improvements?","test"
"3889","What additional features would you like to see?","test"
"3889","What other types of assessments would you like to see?","tet"
"3889","Would you be interested in a verified micro certification?","test"
"3508","Please rate this assessment from one to five, five being the highest","5"
"3508","What did you love about Cloud Assessments and this assessment in particular?"," "
"3508","Why did you rate it the way you did?"," "
"3508","Did you understand what was expected of you (was the scenario clear)?"," "
"3508","Was the skill level appropriate for what we described?"," "
"3508","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3508","Do you have any specific suggestions for improvements?"," "
"3508","What additional features would you like to see?"," "
"3508","What other types of assessments would you like to see?"," "
"3508","Would you be interested in a verified micro certification?"," "
"3745","Please rate this assessment from one to five, five being the highest","3"
"3745","What did you love about Cloud Assessments and this assessment in particular?","test"
"3745","Why did you rate it the way you did?","test"
"3745","Did you understand what was expected of you (was the scenario clear)?","test"
"3745","Was the skill level appropriate for what we described?","test"
"3745","On a scale of one to ten, how likely are you to recommend this to your friends?","2"
"3745","Do you have any specific suggestions for improvements?","test"
"3745","What additional features would you like to see?","test"
"3745","What other types of assessments would you like to see?","test"
"3745","Would you be interested in a verified micro certification?","test"
"3588","Please rate this assessment from one to five, five being the highest","5"
"3588","What did you love about Cloud Assessments and this assessment in particular?","testing prod"
"3588","Why did you rate it the way you did?","testing prod"
"3588","Did you understand what was expected of you (was the scenario clear)?","testing prod"
"3588","Was the skill level appropriate for what we described?","testing prod"
"3588","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3588","Do you have any specific suggestions for improvements?","testing prod"
"3588","What additional features would you like to see?","testing prod"
"3588","What other types of assessments would you like to see?","testing prod"
"3588","Would you be interested in a verified micro certification?","testing prod"
"3888","Please rate this assessment from one to five, five being the highest","5"
"3888","What did you love about Cloud Assessments and this assessment in particular?","test"
"3888","Why did you rate it the way you did?","test"
"3888","Did you understand what was expected of you (was the scenario clear)?","test"
"3888","Was the skill level appropriate for what we described?","test"
"3888","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3888","Do you have any specific suggestions for improvements?","test"
"3888","What additional features would you like to see?","test"
"3888","What other types of assessments would you like to see?","test"
"3888","Would you be interested in a verified micro certification?","test"
"3477","Please rate this assessment from one to five, five being the highest","5"
"3477","What did you love about Cloud Assessments and this assessment in particular?","Everything "
"3477","Why did you rate it the way you did?","its good"
"3477","Did you understand what was expected of you (was the scenario clear)?","Yes"
"3477","Was the skill level appropriate for what we described?","L2"
"3477","On a scale of one to ten, how likely are you to recommend this to your friends?","10"
"3477","Do you have any specific suggestions for improvements?","No"
"3477","What additional features would you like to see?","Nothing as of now"
"3477","What other types of assessments would you like to see?","Dont know"
"3477","Would you be interested in a verified micro certification?","yes"
"3464","Please rate this assessment from one to five, five being the highest","5"
"3464","What did you love about Cloud Assessments and this assessment in particular?","fine"
"3464","Why did you rate it the way you did?","jhn,"
"3464","Did you understand what was expected of you (was the scenario clear)?","a"
"3464","Was the skill level appropriate for what we described?","a"
